path,x_mm,y_mm,z_mm,theta_deg,lambda_side,moment_arm_mm
RETURN_GUIDE_A,920,-184.84337569355307,2.051880536899244,-0.834716796875,,
RETURN_GUIDE_A,940,-184.2421798676476,0.2831606953757628,-0.1153488159179687,,
RETURN_GUIDE_A,960,-184.0,0.0,0.0,,
SELECTED_LIFT_OVERLAP_A,640,-142.90897515927878,131.28723626376842,-52.0,,
SELECTED_LIFT_OVERLAP_A,660,-142.15935118612873,133.45776821875145,-52.34234469135802,,
SELECTED_LIFT_OVERLAP_A,680,-137.47059306455878,140.32168158236072,-54.45962271604938,,
SELECTED_LIFT_OVERLAP_A,690,-132.76934601353537,145.41918111722083,-56.54320987654321,,
RECEIVING_GUIDE_B_TO_D,675,-57.4671558777052,26.959610366453177,-53.69348839506173,0.0,
TRIGGER_CONTACT_TOP_RIM_C,660,-87.57700549296244,164.21110199952534,-52.34234469135802,,-66.4397217100641
TRIGGER_ROLLER_CENTER_R8,660,-95.57700549296244,164.21110199952534,-52.34234469135802,,-66.4397217100641
TRIGGER_CONTACT_TOP_RIM_C,680,-81.7893269895878,169.0374718080934,-54.45962271604938,,-66.84193761166155
TRIGGER_ROLLER_CENTER_R8,680,-89.7893269895878,169.0374718080934,-54.45962271604938,,-66.84193761166155
TRIGGER_CONTACT_TOP_RIM_C,690,-76.08086096295067,172.0915575143406,-56.54320987654321,,-67.1486562797727
TRIGGER_ROLLER_CENTER_R8,690,-84.08086096295067,172.0915575143406,-56.54320987654321,,-67.1486562797727
