x_mm,theta_deg,receiving_guide_y_mm,receiving_guide_surface_z_mm,paddle_contact_y_mm,paddle_contact_z_mm,lift_return_guide_y_mm,lift_return_guide_contact_z_mm,branch
8.0,0.001,,,,,-183.5645048107798,58.99980331917892,COMMON
20.0,0.0151,,,,,-183.563692999922,58.997729211824755,COMMON
32.0,0.0602,,,,,-183.5612975477426,58.99094462931552,COMMON
44.0,0.152,,,,,-183.5560559805602,58.97710684649837,COMMON
56.0,0.3042,,,,,-183.54670922917575,58.953778062604336,COMMON
68.0,0.5285,,,,,-183.5313694596868,58.918574249432325,COMMON
80.0,0.8347,,,,,-183.5071373296714,58.868998182617474,COMMON
92.0,1.2307,,,,,-183.4703868071224,58.80250433178626,COMMON
104.0,1.7228,,,,,-183.41621535047867,58.71581959480018,COMMON
116.0,2.3155,,,,,-183.33829210536814,58.60578767265595,COMMON
128.0,3.0118,,,,,-183.22927577447794,58.468533710221344,COMMON
140.0,3.8134,,,,,-183.08031350112063,58.29976835523433,COMMON
152.0,4.7202,,,,,-182.88159173466443,58.095170804557014,COMMON
164.0,5.7313,,,,,-182.62224638994292,57.84975225720359,COMMON
176.0,6.8441,,,,,-182.29084069718465,57.558963642569175,COMMON
188.0,8.0553,,,,,-181.87561608262587,57.217767840373355,COMMON
200.0,9.3603,,,,,-181.36477122888658,56.8214898343746,COMMON
212.0,10.7536,,,,,-180.74703387061908,56.36582025037367,COMMON
224.0,12.2288,,,,,-180.01190625615843,55.84720080382885,COMMON
236.0,13.7788,,,,,-179.15017406255652,55.26233650052475,COMMON
248.0,15.3958,,,,,-178.15446186890745,54.60903523374545,COMMON
260.0,17.0713,,,,,-177.01929869149302,53.88632136037699,COMMON
272.0,18.7964,,,,,-175.74141068398825,53.09403297420414,COMMON
284.0,20.5617,,,,,-174.3206244651538,52.23590169008949,COMMON
296.0,22.3574,,,,,-172.75898040191856,51.474948166815864,COMMON
308.0,24.1736,,,,,-171.06209420901024,51.16839360674989,COMMON
320.0,26.0,,,,,-169.23787099425158,51.56652773185461,COMMON
332.0,27.8264,,,,,-167.29766283748538,52.77993076040386,COMMON
344.0,29.6426,,,,,-165.25517210088117,54.79026708206922,COMMON
356.0,31.4383,,,,,-163.12684731401785,57.473479424386795,COMMON
368.0,33.2036,,,,,-160.93102357144068,60.63122520190383,COMMON
380.0,34.9287,,,,,-158.68794479500949,64.02675718383009,COMMON
392.0,36.6042,,,,,-156.41943917036662,67.41906054885807,COMMON
404.0,38.2212,,,,,-154.14778077841183,70.59197829699758,COMMON
416.0,39.7712,,,,,-151.8961985544813,73.37601713191792,COMMON
428.0,41.2464,,,,,-149.6873330705187,75.66028681745357,COMMON
440.0,42.6397,,,,,-147.54347510458166,77.3948486267627,COMMON
452.0,43.9447,,,,,-145.48591761340342,78.5857882597189,COMMON
464.0,45.1559,,,,,-143.53412476364213,79.28377038923078,COMMON
476.0,46.2687,,,,,-141.70589987084722,79.569955709922,COMMON
488.0,47.2798,,,,,-140.01656460149428,79.54015692767858,COMMON
500.0,48.1866,,,,,-138.47889176078246,79.29237874012894,COMMON
512.0,48.9882,,,,,-137.10221060047417,78.91547248497692,COMMON
524.0,49.6845,,,,,-135.8932861825861,78.4831040617965,COMMON
536.0,50.2772,,,,,-134.8547638980391,78.05049452378054,COMMON
548.0,50.7693,,,,,-133.98610731052685,77.65487751488538,COMMON
560.0,51.1653,,,,,-133.282874314742,77.31801806814639,COMMON
